Term,Pronunciation,Context / Example Usage,Notes,Count,Tags
Eva Graversen,,,,1,Author
Fabrizio Montesi,,,,1,Author
 University of Southern Denmark,,,,2,Institution
 Independent,,,,1,Institution
 Input Output,,,,1,Institution
IT University of Copenhagen,,,,1,Institution
K ,,“K axiom”,,156,
polymorphism,,,,67,Common-term
induction,,,,31,Common-term
semantics,,,,31,
calculus,,Used to describe a core simple programming language,,25,Common-term
higher-order,,,,24,Common-term
abstraction,,,,23,Common-term
System F,,,,22,Common-term
delegation,,,,20,
theorem,,,,18,Common-term
concurrent,,,,17,Common-term
context,,,,17,Common-term
endpoint,,,,17,
lemma,,,,16,Common-term
session types,,,,16,
Int@X,,,,15,email
integer,,,,14,Common-term
protocol,,,,14,
operational semantics,,,,13,
polymorphic,,,,13,Common-term
syntax,,,,12,Common-term
abstractions,,,,10,
Honda,,,,10,
recursive,,,,10,Common-term
runtime,,,,10,Common-term
Why,,,,9,
type-level,,,,8,Common-term
Go,,,,7,
Wadler,,,,7,Name
ACM,,Association for Computing Machinery,,6,
continuation,,,,6,
Coq,“Coq”,,,6,Common-term programming-language theorem-prover
functional programming,,,,6,
Int@Y,,,,6,email
object-oriented,,,,6,Common-term paradigm
reduction,,,,6,Common-term
calculi,,,,4,
Call-by-Value,,(CBV),,4,Common-term evaluation
compiled,,,,4,
compiler,,,,4,Common-term
concurrency,,,,4,Common-term
derivation,,,,4,
Gay ,,,,4,Name
judgement,,dependent types,,4,theory
linear,,,,4,Common-term
match,,,,4,
matching,,“pattern matching”,,4,Common-term
paradigm,,,,4,Common-term
ATS ,,“Advanced Type System”,,3,Programming-language
Deadlock,,,,3,
POPL,pop-ill,Conference,,3,Common-term
reduction semantics,,,,3,
String@X,,,,3,email
syntactic,,,,3,Common-term
capability,,,,2,
case expression,,,,2,
Elimination,,,,2,
Girard,,,,2,Name
Java,,,,2,
Power,,,,2,
Scala,,,,2,Common-term programming-language
Semantic,,,,2,Common-term
simply-typed,,,,2,Common-term
akhirsch@buffalo.edu,,,,1,email
atomic,,,,1,
bisimulation,,,,1,Common-term equivalence
Bool@S,,,,1,email
Bool@X,,,,1,email
Boolean,,,,1,
Call-by-Name,,(CBN),,1,Common-term evaluation
CBV,,Call-by-Value,,1,Common-term evaluation
clause,,,,1,
conclusion,,,,1,
coproduct,,,,1,
deadlock freedom,,,,1,
decomposition,,,,1,
distribution,,,,1,
efgraversen@imada.sdu.dk,,,,1,email
erasure,,type erasure,,1,Common-term
expression,,,,1,Common-term
fmontesi@imada.sdu.dk,,,,1,email
fn,,,,1,
force,,,,1,Common-term evaluation
formalization,,,,1,Common-term
generic,,,,1,
ICFP,,Conference,,1,Common-term
inl()@Alice,,,,1,email
inlInt@Alice,,,,1,email
inrInt@Alice,,,,1,email
instantiation,,,,1,
Int@A,,,,1,email
Int@Alice,,,,1,email
Int@Cathy,,,,1,email
lock-step,,,,1,Common-term
macro,,,,1,
Mishra,,,,1,
modal,,,,1,
modular,,,,1,Common-term
monadic,Mow-nad-ick,,,1,
OOPSLA,oops-la,,,1,Conference
Pi, pie,dependent types,,1,theory
principality,,,,1,
reflect,,,,1,
reflection,,,,1,Common-term
SIGPLAN,,special interest group on programming languages,,1,
String@Seller,,,,1,email
subject reduction,,,,1,Common-term
tries,"Sometimes tries sometimes trees, I think",Prefix tree data structure,,1,
well-formed,,,,1,Common-term
well-typed,,,,1,Common-term
PolyChor,,,,71,unclassified
inr,,,,41,unclassified
Montesi,,,,35,unclassified
Graversen,,,,29,unclassified
Seller2,,,,25,unclassified
Cruz-Filipe,,,,21,unclassified
fst,,,,18,unclassified
buyAtPrice,,,,17,unclassified
snd,,,,15,unclassified
Buyer1,,,,12,unclassified
Buyer2,,,,12,unclassified
kinding,,,,12,unclassified
recv,,,,12,unclassified
comSeller,,,,11,unclassified
P]P,,,,11,unclassified
sendP,,,,11,unclassified
price_lookup,,,,10,unclassified
recvQ,,,,10,unclassified
D(f,,,,9,unclassified
ftv,,,,9,unclassified
Giallorenzo,,,,9,unclassified
HandleHere,,,,9,unclassified
Yoshida,,,,9,unclassified
inlt,,,,8,unclassified
MQ,,,,7,unclassified
P[L,,,,7,unclassified
Tcom,,,,7,unclassified
comAlice,,,,6,unclassified
deadlock-freedom,,,,6,unclassified
kindof,,,,6,unclassified
LogRequest,,,,6,unclassified
M[X,,,,6,unclassified
NProam,,,,6,unclassified
recvP,,,,6,unclassified
"selectB,Seller",,,,6,unclassified
sendX,,,,6,unclassified
TabsT1,,,,6,unclassified
comQ,,,,5,unclassified
deadlock-free,,,,5,unclassified
inrt,,,,5,unclassified
ip(typeof(N,,,,5,unclassified
ip(X,,,,5,unclassified
kindable,,,,5,unclassified
mp(X,,,,5,unclassified
N[x,,,,5,unclassified
Peressotti,,,,5,unclassified
PolyChor's,,,,5,unclassified
"Q,P",,,,5,unclassified
seller_service,,,,5,unclassified
TabsT2,,,,5,unclassified
title2,,,,5,unclassified
APPTABS,,,,4,unclassified
AuthKey,,,,4,unclassified
Comput,,,,4,unclassified
homomorphically,,,,4,unclassified
LQ,,,,4,unclassified
ML5,,,,4,unclassified
Mostrous,,,,4,unclassified
MTAPP1,,,,4,unclassified
multitier,,,,4,unclassified
NAbsApp,,,,4,unclassified
NBabs,,,,4,unclassified
non-local,,,,4,unclassified
recvS,,,,4,unclassified
Scalas,,,,4,unclassified
"selectAlice,Bob",,,,4,unclassified
"selectBuyer,Seller",,,,4,unclassified
