Term,Pronunciation,Context / Example Usage,Notes,Count,Tags
Christos Dimoulas,,,,5,Author
Matthias Felleisen,,,,5,Author
Robert Bruce Findler,,,,5,Author
Frank Pfenning,Frank “Fenning”,,,2,Author
Simon Fowler,,,,2,Author
Arnaud Spiwack,,,,1,Author
Gabriele Keller,,,,1,Author
Jacques Garrigue,,,,1,Author
Laura Bocchi,,,,1,Author
Olivier Danvy,,,,1,researcher
Sam Lindley,,,,1,Author
Zhenjiang Hu,,,,1,Author
 Independent,,,,2,Institution
expression,,,,54,Common-term
semantics,,,,53,
stack,,,,39,
higher-order,,,,24,Common-term
ACM,,Association for Computing Machinery,,23,
dependent,,,,17,Common-term
theorem,,,,17,Common-term
well-formed,,,,16,Common-term
reduction,,,,14,Common-term
calculus,,Used to describe a core simple programming language,,13,Common-term
sequential ,,,,13,
session types,,,,13,
syntax,,,,12,Common-term
context,,,,10,Common-term
well-formedness,,,,10,Common-term
lambda,lam-duh,Used to refer to anonymous functions “we have a lambda function here”,theory,9,
callee,,,,8,Common-term
Boolean,,,,7,
match,,,,6,
concurrent,,,,5,Common-term
ICFP,,Conference,,5,Common-term
nil,,,,5,
recursive,,,,5,Common-term
SIGPLAN,,special interest group on programming languages,,5,
cons,kon-ss,,,4,
functional programming,,,,4,
matching,,“pattern matching”,,4,Common-term
category,,,,3,
concurrency,,,,3,Common-term
Honda,,,,3,
lemma,,,,3,Common-term
object-oriented,,,,3,Common-term paradigm
POPL,pop-ill,Conference,,3,Common-term
congruence,,,,2,Common-term
expressive,,,,2,Common-term
Flanagan,,,,2,
Go,,,,2,
induction,,,,2,Common-term
integer,,,,2,Common-term
reduction relation,,,,2,
Scheme,,,,2,Common-term programming-language
calculi,,,,1,
closures,,,,1,Common-term
conclusion,,,,1,
constructor,,,,1,Common-term
continuation-passing style,,,,1,
decidable,,,,1,
derive,,,,1,
Findler,,,,1,
Gay ,,,,1,Name
IEEE,eye triple e,Institute of Electrical and Electronics Engineers,,1,
mechanization,,,,1,
nondeterministic,,,,1,
OOPSLA,oops-la,,,1,Conference
permissions@acm.org,,,,1,email
Peyton Jones,,,,1,Name
Pi, pie,dependent types,,1,theory
Racket,racket,Racket programming language,,1,
reduction semantics,,,,1,
runtime,,,,1,Common-term
typechecking,,,,1,Common-term
Wadler,,,,1,Name
message/c,,,,23,unclassified
monc,,,,19,unclassified
Blame-correct,,,,15,unclassified
Recursively-Structured,,,,15,unclassified
ensures/c,,,,14,unclassified
multi-media,,,,11,unclassified
design-by-contract,,,,10,unclassified
request-tag,,,,10,unclassified
behavior/c,,,,9,unclassified
E-SendSelf,,,,9,unclassified
map-positive,,,,9,unclassified
request-contracts,,,,9,unclassified
specific-recipient,,,,9,unclassified
any-recipient,,,,8,unclassified
E-Send,,,,8,unclassified
MonFun,,,,8,unclassified
only/c,,,,8,unclassified
request-reply,,,,8,unclassified
Dimoulas,,,,7,unclassified
M-Send,,,,7,unclassified
request-reply/c,,,,7,unclassified
false,,,,6,unclassified
reply-contract,,,,6,unclassified
reply-tag,,,,6,unclassified
reply-to,,,,6,unclassified
Scholliers,,,,6,unclassified
four-tuple,,,,5,unclassified
Actor-global,,,,4,unclassified
actor-local,,,,4,unclassified
bi-directional,,,,4,unclassified
Congr,,,,4,unclassified
Gommerstadt,,,,4,unclassified
meta-function,,,,4,unclassified
Nobuko,,,,4,unclassified
SIGPLAN-SIGACT,,,,4,unclassified
unconstrained/c,,,,4,unclassified
Yoshida,,,,4,unclassified
actor-based,,,,3,unclassified
AmbientTalk,,,,3,unclassified
Comput,,,,3,unclassified
dosend,,,,3,unclassified
Kohei,,,,3,unclassified
listof,,,,3,unclassified
